rank,name,provider,roi_score,category_score,avg_price_per_million
1,black-forest-labs/flux-schnell,nebius,22.7273,0.125,0.0055
2,meta-llama/Llama-3.2-11B-Vision-Instruct,deepinfra,11.5306,0.565,0.049
3,black-forest-labs/flux-dev,nebius,9.2593,0.125,0.0135
4,meta-llama/Meta-Llama-3.1-8B-Instruct,deepinfra,8.7917,0.3517,0.04
5,meta-llama/Meta-Llama-3.1-8B-Instruct,nebius,8.7917,0.3517,0.04
6,voxtral-mini-transcribe-25-07,mistral,8.5366,0.175,0.0205
7,voxtral-mini-25-07,mistral,8.5366,0.175,0.0205
8,voxtral-mini-latest,mistral,8.5366,0.175,0.0205
9,google/gemma-3-4b-it,deepinfra,8.4167,0.505,0.06
10,google/gemma-2-2b-it,nebius,8.2917,0.3317,0.04
11,mistralai/Mistral-Small-24B-Instruct-2501,deepinfra,7.0256,0.4567,0.065
12,gpt-5-nano-2025-08-07,openai,6.7647,0.761,0.1125
13,gpt-5-nano,openai,6.7647,0.761,0.1125
14,google/gemma-3-12b-it,deepinfra,6.6863,0.5683,0.085
15,gemma-3n-E4B-it Other,together,6.6667,0.2,0.03
16,meta-llama/Llama-3.2-3B-Instruct,deepinfra,6.25,0.125,0.02
17,yandexgpt-lite,yandex,6.25,0.125,0.02
18,meta-llama/Meta-Llama-3-8B-Instruct,deepinfra,6.0741,0.2733,0.045
19,microsoft/phi-4,deepinfra,5.2286,0.549,0.105
20,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,deepinfra,5.0,0.125,0.025
21,openai/gpt-oss-20b,nebius,4.24,0.53,0.125
22,mistralai/Mistral-Nemo-Instruct-2407,deepinfra,4.1667,0.125,0.03
23,gpt-4.1-nano-2025-04-14,openai,3.783,0.4729,0.125
24,gpt-4.1-nano,openai,3.783,0.4729,0.125
25,google/gemma-2-9b-it-fast,nebius,3.3333,0.2,0.06
26,google/gemma-3-27b-it,deepinfra,3.3333,0.4167,0.125
27,gemini-2.0-flash-lite,google,3.2347,0.6065,0.1875
28,meta-llama/Llama-Guard-3-8B,nebius,3.125,0.125,0.04
29,Qwen/Qwen3-32B,deepinfra,2.6698,0.4806,0.18
30,Qwen/Qwen3-30B-A3B,deepinfra,2.6066,0.4822,0.185
31,gpt-4o-mini-2024-07-18,openai,2.5452,0.4772,0.1875
32,gpt-4o-mini,openai,2.5175,0.472,0.1875
33,Qwen/Qwen3-30B-A3B-Instruct-2507,nebius,2.4111,0.4822,0.2
34,Qwen/Qwen3-32B,nebius,2.4028,0.4806,0.2
35,mistral-small-latest,mistral,2.2377,0.4475,0.2
36,Qwen/Qwen3-235B-A22B-Instruct-2507,deepinfra,2.1913,0.5851,0.267
37,meta-llama/Meta-Llama-3.1-8B-Instruct-fast,nebius,2.0833,0.125,0.06
38,Qwen/Qwen2.5-Coder-7B-fast,nebius,2.0833,0.125,0.06
39,Llama 3.2 3B Instruct Turbo Llama,together,2.0833,0.125,0.06
40,google/gemma-3-27b-it,nebius,2.0833,0.4167,0.2
41,grok-4-1-fast-reasoning,xai,2.0524,0.7183,0.35
42,Qwen/Qwen2.5-72B-Instruct,deepinfra,1.9932,0.5083,0.255
43,ministral-3b-latest,mistral,1.985,0.1985,0.1
44,gemini-2.0-flash,google,1.9368,0.4842,0.25
45,deepseek-ai/DeepSeek-OCR,deepinfra,1.9231,0.125,0.065
46,grok-4-fast-reasoning,xai,1.9143,0.67,0.35
47,deepseek-reasoner,deepseek,1.8907,0.6618,0.35
48,deepseek-chat,deepseek,1.8714,0.655,0.35
49,gpt-4o-mini-tts,openai,1.8699,0.575,0.3075
50,deepseek-ai/DeepSeek-V3.2,siliconflow,1.843,0.6451,0.35
