rank,name,provider,roi_score,category_score,avg_price_per_million
1,meta-llama/Llama-3.2-11B-Vision-Instruct,deepinfra,11.5306,0.565,0.049
2,gpt-5-nano-2025-08-07,openai,7.8444,0.8825,0.1125
3,gpt-5-nano,openai,7.8444,0.8825,0.1125
4,meta-llama/Meta-Llama-3-8B-Instruct,deepinfra,5.5278,0.2488,0.045
5,microsoft/phi-4,deepinfra,5.2286,0.549,0.105
6,gpt-4.1-nano-2025-04-14,openai,4.558,0.5697,0.125
7,gpt-4.1-nano,openai,4.558,0.5697,0.125
8,google/gemma-3-27b-it,deepinfra,3.8027,0.4753,0.125
9,gemini-2.0-flash-lite,google,3.3227,0.623,0.1875
10,gpt-4o-mini-2024-07-18,openai,2.4996,0.4687,0.1875
11,gpt-4o-mini,openai,2.4996,0.4687,0.1875
12,deepseek-reasoner,deepseek,2.4457,0.856,0.35
13,google/gemma-3-27b-it,nebius,2.3767,0.4753,0.2
14,gemini-2.0-flash,google,2.1453,0.5363,0.25
15,meta-llama/Llama-4-Scout-17B-16E-Instruct,deepinfra,2.1386,0.4063,0.19
16,Qwen/Qwen3-235B-A22B-Instruct-2507,deepinfra,2.1298,0.5687,0.267
17,mistral-small-latest,mistral,2.0575,0.4115,0.2
18,Qwen/Qwen2.5-72B-Instruct,deepinfra,1.998,0.5095,0.255
19,ministral-3b-latest,mistral,1.985,0.1985,0.1
20,Qwen/Qwen3-235B-A22B-Thinking-2507,nebius,1.668,0.834,0.5
21,grok-4-1-fast-non-reasoning,xai,1.6,0.56,0.35
22,publishers/google/models/gemini-2.0-flash-001,vertex,1.5769,0.5913,0.375
23,gpt-5-mini-2025-08-07,openai,1.5689,0.8825,0.5625
24,meta-llama/Llama-3.3-70B-Instruct,nebius,1.5117,0.4006,0.265
25,gpt-4.1-mini-2025-04-14,openai,1.4265,0.7133,0.5
26,gpt-4.1-mini,openai,1.4265,0.7133,0.5
27,Qwen/Qwen3-235B-A22B-Instruct-2507,nebius,1.4217,0.5687,0.4
28,ministral-8b-latest,mistral,1.4,0.21,0.15
29,deepseek-ai/DeepSeek-V3,siliconflow,1.3897,0.4864,0.35
30,open-mistral-nemo,mistral,1.3567,0.2035,0.15
31,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,deepinfra,1.2553,0.4708,0.375
32,Qwen3 235B A22B,fireworks,1.0339,0.5687,0.55
33,Qwen3 235B A22B Instruct 2507,fireworks,1.0339,0.5687,0.55
34,Qwen/Qwen2.5-72B-Instruct,siliconflow,0.9264,0.5095,0.55
35,mistralai/Mixtral-8x7B-Instruct-v0.1,deepinfra,0.8556,0.462,0.54
36,deepseek-ai/DeepSeek-V3,deepinfra,0.804,0.4864,0.605
37,gpt-5.1-codex-mini,openai,0.7844,0.8825,1.125
38,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,deepinfra,0.7296,0.6567,0.9
39,meta-llama/Llama-3.3-70B-Instruct,siliconflow,0.7284,0.4006,0.55
40,microsoft/WizardLM-2-8x22B,deepinfra,0.7198,0.3455,0.48
41,o4-mini-2025-04-16,openai,0.6495,0.893,1.375
42,o4-mini,openai,0.6495,0.893,1.375
43,o3-mini-2025-01-31,openai,0.6438,0.8853,1.375
44,Qwen/Qwen3-235B-A22B-Thinking-2507,deepinfra,0.6366,0.834,1.31
45,o3-mini,openai,0.6065,0.834,1.375
46,OpenAI gpt-oss-120b,fireworks,0.5893,0.221,0.375
47,openai/gpt-oss-120b,nebius,0.5893,0.221,0.375
48,gemini-2.5-flash-lite,google,0.5696,0.712,1.25
49,gemini-2.5-flash-preview-09-2025,google,0.5086,0.712,1.4
50,deepseek-ai/DeepSeek-V3-0324,nebius,0.4864,0.4864,1.0
